PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;121013;133999;164197;177098;174001;185446;189476;165119;156984;180387;179004;173476;2000200
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;60,1063;57,2668;56,5577;61,9799;74,3692;69,1184;71,1499;65,4576;59,0392;61,2947;56,1875;62,3618;754,889
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;28407,025;25016,4006;28591,2086;29995,9641;33562,7495;33737,387;36712,1952;37499,3121;37085,4766;35270,0731;31760,0578;32673,9634;390311,813
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;ALAGOAS;50991,008;45716,6679;49880,589;47210,394;48126,887;43803,3007;47634,765;50569,42;47173,724;44492,244;47146,98;48847,847;571593,8266
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;SERGIPE;4448,1724;4656,7501;5228,3978;5012,0033;5224,2452;5362,2948;5102,2895;4657,2265;4693,3733;4848,6393;4662,6288;4692,4049;58588,4259
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;BAHIA;158202,6875;134216,5866;158005,9028;148459,4231;159650,2382;152672,4244;158471,6112;165470,3312;161153,6313;163152,5634;165129,5843;171316,7044;1895901,6884
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;25244,6414;22708,9085;21799,6955;21840,8907;23955,5352;25389,6231;26273,9718;27449,9613;28271,7115;29871,0161;32626,2957;29798,8384;315231,0892
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2001;REGIÃO NORTE;AMAZONAS;182148;173209;196631;188200;204793;203396;189642;197601;215273;228028;221063;227346;2427330
TERRA (mil m3);mil m3;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2001;REGIÃO NORDESTE;CEARÁ;58;57;67;54;58;56;63;69;57;68;69;57;733
TERRA (mil m3);mil m3;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;34269;32719;39452;36744;33940;32464;32215;32628;31609;29431;29331;29719;394521
TERRA (mil m3);mil m3;2001;REGIÃO NORDESTE;ALAGOAS;50095;45204;51524;49602;54643;48492;53981;49834;44915;50353,81;50367,71;50699,44;599710,96
TERRA (mil m3);mil m3;2001;REGIÃO NORDESTE;SERGIPE;4663;4165;4805;4869;5172;5136;5038;5178;5128;5142;4932;5102;59330
TERRA (mil m3);mil m3;2001;REGIÃO NORDESTE;BAHIA;167801;150265;168545;160658;176896;164009;169139;150647;154525;166368,18;159011,62;170208,13;1958072,93
TERRA (mil m3);mil m3;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;30319;28897;31834;31646;31167;31593;34669;31915;33577;34847;33329;34056,2;387849,2
TERRA (mil m3);mil m3;2001;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2002;REGIÃO NORTE;AMAZONAS;238614;213235;234413;227885;237460;222724;226291;231656;224327;231488;223907;231183;2743183
TERRA (mil m3);mil m3;2002;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2002;REGIÃO NORDESTE;CEARÁ;61;51;65;52;57;56;54;52;51;62;57;55;673
TERRA (mil m3);mil m3;2002;REGIÃO NORDESTE;RIO GRANDE DO NORTE;31007;28459;30248;28580;30205;28027;28688;29081;31778;33125;26798;30827;356823
TERRA (mil m3);mil m3;2002;REGIÃO NORDESTE;ALAGOAS;51508,45;50637,46;56108,75;49191,04;56780,41;55667,24;53970,38;54258,32;51958,79;49438,6;49649,38;53383,11;632551,93
TERRA (mil m3);mil m3;2002;REGIÃO NORDESTE;SERGIPE;5057;4382;4821;4856;4936;4638;5083;5053;4970;5314;5126;5320;59556
TERRA (mil m3);mil m3;2002;REGIÃO NORDESTE;BAHIA;163189,76;157748,66;174044,55;173367,8;179530,9;179042,96;171203,18;174723,63;149844,94;137885,16;148946,88;154648,79;1964177,21
TERRA (mil m3);mil m3;2002;REGIÃO SUDESTE;ESPÍRITO SANTO;35695;32676;33072;33137;34751;36590;35011;35459;31937;33796;34254;35297;411675
TERRA (mil m3);mil m3;2002;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2002;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2002;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2003;REGIÃO NORTE;AMAZONAS;231962;212979;236478;229738;217632;229851;238135;265431;280083;278268;281180;290821;2992558
TERRA (mil m3);mil m3;2003;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2003;REGIÃO NORDESTE;CEARÁ;57;55;64;65;63;76;71;70;69;63;62;66;781
TERRA (mil m3);mil m3;2003;REGIÃO NORDESTE;RIO GRANDE DO NORTE;29154;24536;24262;25889;25216;24297;23345;25976;24632;24763;23675;25853;301598
TERRA (mil m3);mil m3;2003;REGIÃO NORDESTE;ALAGOAS;54550;50149,75;57938,88;56519,82;65448,51;69469,96;67322,52;65871,2;66482,25;75441,39;71847,22;82262,89;783304,39
TERRA (mil m3);mil m3;2003;REGIÃO NORDESTE;SERGIPE;5298;5081;5651;5879;6037;5570;5823;5182;5114;5362;5486;5766;66249
TERRA (mil m3);mil m3;2003;REGIÃO NORDESTE;BAHIA;165242,51;158950,23;173174,89;176504,29;182533,08;166250,09;185860,81;178368,67;178400,24;183462,83;176361,1;190614;2115722,74
TERRA (mil m3);mil m3;2003;REGIÃO SUDESTE;ESPÍRITO SANTO;37430;35824;39783;38887;38191;36689;38944;36788;35878;38930;36439;34650;448433
TERRA (mil m3);mil m3;2003;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2003;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2003;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2004;REGIÃO NORTE;AMAZONAS;298461;285109;305482;293019;299582;297074;307422;309980;302151;310592;300150;311738;3620760
TERRA (mil m3);mil m3;2004;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2004;REGIÃO NORDESTE;CEARÁ;67;64;64;65;32;33;58;54;53;59;52;43;644
TERRA (mil m3);mil m3;2004;REGIÃO NORDESTE;RIO GRANDE DO NORTE;25776;29484;31079;29189;27989;26607;26557;27588;25943;28023;26931;28294;333460
TERRA (mil m3);mil m3;2004;REGIÃO NORDESTE;ALAGOAS;79251;78682,35;83873;82044;88446,97;93404;93428;88741,98;88674,9;91690,59;87619,64;86376,95;1042233,38
